name,description,category,price,brand,rating,release_date,tags
iPhone 15 Pro,"Apple's flagship with A17 Pro chip, titanium design, and 48MP camera system",Electronics,999.99,Apple,4.8,2023-09-22,"smartphone, premium, 5G"
Samsung Galaxy S24 Ultra,"AI-powered phone with S Pen, 200MP camera, and titanium frame",Electronics,1199.99,Samsung,4.7,2024-01-17,"smartphone, premium, AI, 5G"
Sony WH-1000XM5,"Industry-leading noise canceling headphones with 30-hour battery life",Electronics,349.99,Sony,4.6,2022-05-20,"headphones, audio, wireless"
Nike Air Max 90,"Classic sneaker with visible Air cushioning and retro design",Footwear,129.99,Nike,4.5,2020-03-26,"sneakers, casual, retro"
Dyson V15 Detect,"Cordless vacuum with laser dust detection and HEPA filtration",Home Appliances,749.99,Dyson,4.4,2023-03-01,"vacuum, cordless, smart home"
MacBook Pro 16,"M3 Max chip laptop with stunning Liquid Retina XDR display for professionals",Electronics,3499.99,Apple,4.9,2023-10-30,"laptop, premium, professional"
Adidas Ultraboost Light,"Lightweight running shoe with responsive Boost midsole cushioning",Footwear,189.99,Adidas,4.3,2023-02-01,"running, athletic, lightweight"
Instant Pot Duo 7-in-1,"Multi-use pressure cooker that replaces 7 kitchen appliances",Home Appliances,89.99,Instant Pot,4.7,2019-06-15,"kitchen, cooking, pressure cooker"
Bose QuietComfort Ultra,"Spatial audio earbuds with world-class noise cancellation",Electronics,299.99,Bose,4.5,2023-10-03,"earbuds, audio, wireless, premium"
Lego Technic Porsche 911,"Detailed 1:8 scale model of the iconic Porsche 911 GT3 RS",Toys & Games,449.99,Lego,4.8,2023-08-01,"building, collectible, model"
KitchenAid Stand Mixer,"Professional 5-quart tilt-head stand mixer with 10 speeds",Home Appliances,379.99,KitchenAid,4.6,2021-11-10,"kitchen, baking, mixer"
PlayStation 5 Slim,"Sony's next-gen gaming console with ultra-high speed SSD",Electronics,449.99,Sony,4.7,2023-11-10,"gaming, console, entertainment"
New Balance 990v6,"Made in USA premium running shoe with superior cushioning",Footwear,199.99,New Balance,4.4,2024-04-01,"running, premium, comfort"
Roomba j7+,"Self-emptying robot vacuum with obstacle avoidance AI",Home Appliances,599.99,iRobot,4.3,2022-09-15,"vacuum, robot, smart home, AI"
Nintendo Switch OLED,"Handheld gaming console with vibrant 7-inch OLED screen",Electronics,349.99,Nintendo,4.6,2021-10-08,"gaming, portable, entertainment"
